GeneID,GeneName,Family_Subfamily,ProteinClass,GO_MF,GO_BP,GO_CC
Zm00001eb001260,Cell division control protein 2 homolog,CYCLIN-DEPENDENT KINASE A-1 (PTHR24056:SF549),non-receptor serine/threonine protein kinase(PC00167),nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);cyclin-dependent protein serine/threonine kinase activity(GO:0004693);ATP binding(GO:0005524);RNA polymerase II CTD heptapeptide repeat kinase activity(GO:0008353);kinase activity(GO:0016301);transferase activity(GO:0016740);protein serine kinase activity(GO:0106310),G2/M transition of mitotic cell cycle(GO:0000086);regulation of transcription by RNA polymerase II(GO:0006357);signal transduction(GO:0007165);cell division(GO:0051301);regulation of meiotic cell cycle(GO:0051445),nucleus(GO:0005634);cytoplasm(GO:0005737)
Zm00001eb058860,Putative xyloglucan glycosyltransferase 12,XYLOGLUCAN GLYCOSYLTRANSFERASE 9-RELATED (PTHR32044:SF51),,transferase activity(GO:0016740);glycosyltransferase activity(GO:0016757),pollen tube development(GO:0048868);cell wall organization(GO:0071555);plant organ development(GO:0099402),Golgi membrane(GO:0000139);Golgi apparatus(GO:0005794)
Zm00001eb135470,E3 ubiquitin protein ligase DRIP2,OS12G0600200 PROTEIN (PTHR46293:SF5),ubiquitin-protein ligase(PC00234),ubiquitin-protein transferase activity(GO:0004842);zinc ion binding(GO:0008270);metal ion binding(GO:0046872),,
Zm00001eb210620,Derlin2,EXPRESSED PROTEIN (PTHR35110:SF1),,mRNA binding(GO:0003729),,
Zm00001eb067440,26S proteasome non-ATPase regulatory subunit 7 homolog A,26S PROTEASOME NON-ATPASE REGULATORY SUBUNIT 7 HOMOLOG A (PTHR10540:SF32),translation initiation factor(PC00224),peptidase activity(GO:0008233);metallopeptidase activity(GO:0008237),proteasome-mediated ubiquitin-dependent protein catabolic process(GO:0043161);system development(GO:0048731),proteasome complex(GO:0000502);proteasome regulatory particle(GO:0005838);intracellular protein-containing complex(GO:0140535);catalytic complex(GO:1902494)
Zm00001eb103030,RNA helicase,RNA HELICASE (PTHR47958:SF24),RNA helicase(PC00032),nucleotide binding(GO:0000166);nucleic acid binding(GO:0003676);RNA binding(GO:0003723);RNA helicase activity(GO:0003724);mRNA binding(GO:0003729);helicase activity(GO:0004386);ATP binding(GO:0005524);hydrolase activity(GO:0016787),,nucleus(GO:0005634);nucleolus(GO:0005730)
Zm00001eb120470,Alpha_beta-Hydrolases superfamily protein,ALPHA_BETA-HYDROLASES SUPERFAMILY PROTEIN (PTHR11614:SF143),phospholipase(PC00186),lipase activity(GO:0016298);hydrolase activity(GO:0016787),,membrane(GO:0016020)
Zm00001eb358970,Protein kinase superfamily protein,OS01G0631700 PROTEIN (PTHR47984:SF4),,nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);ATP binding(GO:0005524);kinase activity(GO:0016301);transferase activity(GO:0016740),,membrane(GO:0016020)
Zm00001eb055950,1-aminocyclopropane-1-carboxylate synthase6,1-AMINOCYCLOPROPANE-1-CARBOXYLATE SYNTHASE 9 (PTHR43795:SF10),transaminase(PC00216),catalytic activity(GO:0003824);transaminase activity(GO:0008483);lyase activity(GO:0016829);1-aminocyclopropane-1-carboxylate synthase activity(GO:0016847);pyridoxal phosphate binding(GO:0030170),amino acid metabolic process(GO:0006520);defense response(GO:0006952);ethylene biosynthetic process(GO:0009693);fruit ripening(GO:0009835);1-aminocyclopropane-1-carboxylate biosynthetic process(GO:0042218),
Zm00001eb231790,Plant-specific domain TIGR01589 family protein,HISTIDINE-TRNA LIGASE (PTHR31871:SF1),,,,
Zm00001eb142170,PsbP domain-containing protein 7 chloroplastic,"PSBP DOMAIN-CONTAINING PROTEIN 7, CHLOROPLASTIC (PTHR31407:SF16)",,calcium ion binding(GO:0005509),photosynthesis(GO:0015979);photosystem I assembly(GO:0048564),photosystem II(GO:0009523);chloroplast thylakoid membrane(GO:0009535);photosystem II oxygen evolving complex(GO:0009654);extrinsic component of membrane(GO:0019898)
Zm00001eb255310,Amidase,"OUTER ENVELOPE PROTEIN 64, MITOCHONDRIAL (PTHR46310:SF4)",,,protein targeting to mitochondrion(GO:0006626);protein import into mitochondrial matrix(GO:0030150),
Zm00001eb335680,MYB-related transcription factor,MYB TRANSCRIPTION FACTOR (PTHR44042:SF59),,DNA binding(GO:0003677);DNA-binding transcription factor activity(GO:0003700),regulation of DNA-templated transcription(GO:0006355);response to gibberellin(GO:0009739);response to sucrose(GO:0009744),nucleus(GO:0005634)
Zm00001eb170770,Uncharacterized protein,OS08G0355400 PROTEIN (PTHR31549:SF63),,,,
Zm00001eb401520,Uncharacterized protein,EXPRESSED PROTEIN (PTHR33779:SF1),,zinc ion binding(GO:0008270),,
Zm00001eb250240,Indeterminate domain p10,INDETERMINATE DOMAIN P10 (PTHR10593:SF116),non-receptor serine/threonine protein kinase(PC00167),DNA-binding transcription factor activity(GO:0003700);zinc ion binding(GO:0008270);metal ion binding(GO:0046872),regulation of DNA-templated transcription(GO:0006355),nucleus(GO:0005634)
Zm00001eb374000,2Fe-2S ferredoxin-type domain-containing protein,2FE-2S FERREDOXIN-TYPE DOMAIN-CONTAINING PROTEIN (PTHR23426:SF71),oxidoreductase(PC00176),"electron transfer activity(GO:0009055);metal ion binding(GO:0046872);iron-sulfur cluster binding(GO:0051536);2 iron, 2 sulfur cluster binding(GO:0051537)",electron transport chain(GO:0022900);P450-containing electron transport chain(GO:0140647),mitochondrion(GO:0005739)
Zm00001eb416950,Polycomb group protein FIE2,POLYCOMB PROTEIN EED (PTHR10253:SF5),"chromatin/chromatin-binding, or -regulatory protein(PC00077)",nucleosome binding(GO:0031491),negative regulation of transcription by RNA polymerase II(GO:0000122);chromatin organization(GO:0006325);endosperm development(GO:0009960);heterochromatin formation(GO:0031507),nucleus(GO:0005634);PcG protein complex(GO:0031519);ESC/E(Z) complex(GO:0035098)
Zm00001eb399640,S-locus glycoprotein domain-containing protein,,,,,
Zm00001eb211690,protein-serine_threonine phosphatase,PROTEIN PHOSPHATASE 2C 23-RELATED (PTHR13832:SF228),protein phosphatase(PC00195),phosphoprotein phosphatase activity(GO:0004721);protein serine/threonine phosphatase activity(GO:0004722);hydrolase activity(GO:0016787);metal ion binding(GO:0046872),signal transduction(GO:0007165);phyllome development(GO:0048827),
Zm00001eb370650,Calcyclin-binding protein,CALCYCLIN-BINDING PROTEIN (PTHR47686:SF1),,tubulin binding(GO:0015631);ubiquitin protein ligase binding(GO:0031625);S100 protein binding(GO:0044548),,nucleus(GO:0005634);cytoplasm(GO:0005737)
Zm00001eb394300,Sulfotransferase,SULFOTRANSFERASE (PTHR32175:SF4),,,,
Zm00001eb158260,Uncharacterized protein,,,,,
Zm00001eb183830,Vacuolar protein sorting-associated protein 20 homolog 2,CHARGED MULTIVESICULAR BODY PROTEIN 6 (PTHR22761:SF5),membrane traffic protein(PC00150),,vesicle budding from membrane(GO:0006900);vacuolar transport(GO:0007034);protein transport(GO:0015031);nuclear membrane reassembly(GO:0031468);late endosome to vacuole transport via multivesicular body sorting pathway(GO:0032511),ESCRT III complex(GO:0000815);nuclear envelope(GO:0005635);multivesicular body(GO:0005771);endosome membrane(GO:0010008)
Zm00001eb147650,Acetyltransferase,TRICHOTHECENE 3-O-ACETYLTRANSFERASE (PTHR31896:SF64),,"transferase activity(GO:0016740);acyltransferase activity, transferring groups other than amino-acyl groups(GO:0016747)",,cytoplasm(GO:0005737)
Zm00001eb192470,Protein CDI,PROTEIN CDI (PTHR35105:SF2),,,,
Zm00001eb400330,Peptidase beta subunit,GH01077P (PTHR11851:SF149),metalloprotease(PC00153),metalloendopeptidase activity(GO:0004222);peptidase activity(GO:0008233);metallopeptidase activity(GO:0008237);hydrolase activity(GO:0016787);metal ion binding(GO:0046872),proteolysis(GO:0006508);protein processing involved in protein targeting to mitochondrion(GO:0006627),mitochondrion(GO:0005739);mitochondrial matrix(GO:0005759);mitochondrial processing peptidase complex(GO:0017087)
Zm00001eb144360,Putative carboxylesterase 11,B1065G12.16 PROTEIN (PTHR23024:SF211),deacetylase(PC00087),hydrolase activity(GO:0016787),,
Zm00001eb431470,Putative SNF2-domain_RING finger domain_helicase domain protein,OS04G0629300 PROTEIN (PTHR45626:SF3),,"nucleotide binding(GO:0000166);helicase activity(GO:0004386);ATP binding(GO:0005524);ATP-dependent activity, acting on DNA(GO:0008094);zinc ion binding(GO:0008270);hydrolase activity(GO:0016787);metal ion binding(GO:0046872)",DNA repair(GO:0006281),nucleus(GO:0005634)
Zm00001eb258320,UDP-glucose:glycoprotein glucosyltransferase,UDP-GLUCOSE:GLYCOPROTEIN GLUCOSYLTRANSFERASE (PTHR11226:SF0),glycosyltransferase(PC00111),UDP-glucose:glycoprotein glucosyltransferase activity(GO:0003980);transferase activity(GO:0016740);unfolded protein binding(GO:0051082),protein N-linked glycosylation via asparagine(GO:0018279);UDP-glucosylation(GO:0097359),endoplasmic reticulum(GO:0005783);endoplasmic reticulum lumen(GO:0005788)
Zm00001eb400520,MFP1 attachment factor 1,OS10G0337700 PROTEIN (PTHR34362:SF12),,,mitotic cell cycle(GO:0000278);lateral root development(GO:0048527),nucleus(GO:0005634);cytoplasm(GO:0005737)
Zm00001eb165450,Sodium_calcium exchanger membrane region domain-containing protein,"NA_CA-EXCHANGE PROTEIN, ISOFORM G (PTHR11878:SF65)",secondary carrier transporter(PC00258),transmembrane transporter activity(GO:0022857),monoatomic ion transport(GO:0006811);metal ion transport(GO:0030001);transmembrane transport(GO:0055085),vacuolar membrane(GO:0005774);endomembrane system(GO:0012505);membrane(GO:0016020)
Zm00001eb240940,protein-serine_threonine phosphatase,PROTEIN PHOSPHATASE 2C 14-RELATED (PTHR47992:SF205),protein phosphatase(PC00195),phosphoprotein phosphatase activity(GO:0004721);protein serine/threonine phosphatase activity(GO:0004722);hydrolase activity(GO:0016787);metal ion binding(GO:0046872),regulation of intracellular signal transduction(GO:1902531),
Zm00001eb080560,Dynein light chain,OS04G0462600 PROTEIN (PTHR11886:SF115),microtubule or microtubule-binding cytoskeletal protein(PC00157),dynein intermediate chain binding(GO:0045505),microtubule-based process(GO:0007017),cytoskeleton(GO:0005856);cytoplasmic dynein complex(GO:0005868);microtubule(GO:0005874);dynein complex(GO:0030286)
Zm00001eb124810,Octicosapeptide_Phox_Bem1p family protein,EXPRESSED PROTEIN (PTHR31066:SF27),,,,
Zm00001eb429430,Glutathione peroxidase,"PHOSPHOLIPID HYDROPEROXIDE GLUTATHIONE PEROXIDASE 6, MITOCHONDRIAL-RELATED (PTHR11592:SF118)",peroxidase(PC00180),peroxidase activity(GO:0004601);oxidoreductase activity(GO:0016491);phospholipid-hydroperoxide glutathione peroxidase activity(GO:0047066),response to oxidative stress(GO:0006979);cellular response to oxidative stress(GO:0034599);cellular oxidant detoxification(GO:0098869),cytosol(GO:0005829)
Zm00001eb191500,Haloacid dehalogenase-like hydrolase (HAD) superfamily protein,"SUPERFAMILY HYDROLASE, PUTATIVE (AFU_ORTHOLOGUE AFUA_4G13290)-RELATED (PTHR43885:SF1)",hydrolase(PC00121),,,
Zm00001eb193720,Uncharacterized protein,EMB|CAB62433.1| (PTHR31722:SF62),,,,
Zm00001eb211410,Non-specific phospholipase C1,NON-SPECIFIC PHOSPHOLIPASE C1 (PTHR31956:SF1),phospholipase(PC00186),"hydrolase activity(GO:0016787);hydrolase activity, acting on ester bonds(GO:0016788);phosphoric ester hydrolase activity(GO:0042578)",phosphate-containing compound metabolic process(GO:0006796);phospholipid catabolic process(GO:0009395),extracellular region(GO:0005576)
Zm00001eb309480,Alpha_beta hydrolase fold-3 domain-containing protein,OS07G0162600 PROTEIN (PTHR23024:SF140),deacetylase(PC00087),hydrolase activity(GO:0016787),,
Zm00001eb427520,Vacuolar iron transporter homolog 1,VACUOLAR IRON TRANSPORTER HOMOLOG 2 (PTHR31851:SF54),transporter(PC00227),iron ion transmembrane transporter activity(GO:0005381);manganese ion transmembrane transporter activity(GO:0005384);iron ion sequestering activity(GO:0140315),monoatomic ion transport(GO:0006811);iron ion transport(GO:0006826);intracellular manganese ion homeostasis(GO:0030026);iron ion transmembrane transport(GO:0034755);manganese ion transmembrane transport(GO:0071421),vacuolar membrane(GO:0005774);membrane(GO:0016020)
Zm00001eb124670,PRPK,EKC_KEOPS COMPLEX SUBUNIT TPRKB (PTHR15840:SF10),,,tRNA threonylcarbamoyladenosine modification(GO:0002949);tRNA processing(GO:0008033),EKC/KEOPS complex(GO:0000408);nucleus(GO:0005634);cytosol(GO:0005829)
Zm00001eb246710,Protein kinase domain-containing protein,OS02G0608500 PROTEIN (PTHR44329:SF7),non-receptor serine/threonine protein kinase(PC00167),nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);ATP binding(GO:0005524);kinase activity(GO:0016301);transferase activity(GO:0016740),signal transduction(GO:0007165),cytoplasm(GO:0005737)
Zm00001eb394240,CST complex subunit STN1,CST COMPLEX SUBUNIT STN1 (PTHR13989:SF33),,nucleic acid binding(GO:0003676);DNA binding(GO:0003677);telomeric DNA binding(GO:0042162),,"chromosome, telomeric region(GO:0000781);nucleus(GO:0005634)"
Zm00001eb429100,Amino acid transporter transmembrane domain-containing protein,AMINO ACID TRANSPORTER AVT3A (PTHR22950:SF674),amino acid transporter(PC00046),,,
Zm00001eb322320,Transducin_WD40 repeat-like superfamily protein,WD REPEAT-CONTAINING PROTEIN 74 (PTHR16038:SF4),RNA processing factor(PC00147),,ribosomal large subunit biogenesis(GO:0042273),"nucleolus(GO:0005730);preribosome, large subunit precursor(GO:0030687)"
Zm00001eb152670,Interactor of constitutive active ROPs 1,INTERACTOR OF CONSTITUTIVE ACTIVE ROPS 4 (PTHR34224:SF2),,,,
Zm00001eb213430,Transcription factor TCP2,TRANSCRIPTION FACTOR PCF6 (PTHR31072:SF114),DNA-binding transcription factor(PC00218),DNA binding(GO:0003677);DNA-binding transcription factor activity(GO:0003700);sequence-specific DNA binding(GO:0043565),regulation of DNA-templated transcription(GO:0006355);regulation of secondary shoot formation(GO:2000032),nucleus(GO:0005634)
Zm00001eb430150,Protein NRT1_ PTR FAMILY 8.3,OS04G0597600 PROTEIN (PTHR11654:SF176),transporter(PC00227),transmembrane transporter activity(GO:0022857),transmembrane transport(GO:0055085),membrane(GO:0016020)
Zm00001eb434170,NDR1_HIN1-like 1,HARPIN INDUCED PROTEIN 5 (PTHR31415:SF8),,,defense response to other organism(GO:0098542),plasma membrane(GO:0005886);plasmodesma(GO:0009506);membrane(GO:0016020)
Zm00001eb157890,Vacuolar protein sorting protein 25,VACUOLAR PROTEIN-SORTING-ASSOCIATED PROTEIN 25 (PTHR13149:SF0),membrane traffic protein(PC00150),structural molecule activity(GO:0005198);protein homodimerization activity(GO:0042803),protein transport(GO:0015031);macroautophagy(GO:0016236);protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway(GO:0043328);multivesicular body sorting pathway(GO:0071985),ESCRT II complex(GO:0000814)
Zm00001eb290990,Protein LURP-one-related 8,OS05G0484800 PROTEIN (PTHR31087:SF164),,,,
Zm00001eb375490,Ribonucleoside-diphosphate reductase,RIBONUCLEOSIDE-DIPHOSPHATE REDUCTASE LARGE SUBUNIT (PTHR11573:SF6),reductase(PC00198),"nucleotide binding(GO:0000166);catalytic activity(GO:0003824);ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor(GO:0004748);ATP binding(GO:0005524);oxidoreductase activity(GO:0016491)",deoxyribonucleotide biosynthetic process(GO:0009263),ribonucleoside-diphosphate reductase complex(GO:0005971)
Zm00001eb193730,Cyclin-dependent kinase inhibitor 1,CYCLIN-DEPENDENT KINASE INHIBITOR 1 (PTHR46776:SF9),kinase inhibitor(PC00139),protein kinase inhibitor activity(GO:0004860);cyclin-dependent protein serine/threonine kinase inhibitor activity(GO:0004861);kinase activity(GO:0016301),positive regulation of DNA replication(GO:0045740);regulation of cell cycle(GO:0051726),nucleus(GO:0005634)
Zm00001eb195630,ethanolamine-phosphate cytidylyltransferase,ETHANOLAMINE-PHOSPHATE CYTIDYLYLTRANSFERASE (PTHR45780:SF2),nucleotidyltransferase(PC00174),catalytic activity(GO:0003824);ethanolamine-phosphate cytidylyltransferase activity(GO:0004306);transferase activity(GO:0016740);nucleotidyltransferase activity(GO:0016779),lipid metabolic process(GO:0006629);phosphatidylethanolamine biosynthetic process(GO:0006646);phospholipid biosynthetic process(GO:0008654),cytoplasm(GO:0005737)
Zm00001eb416250,Uncharacterized protein,,,,,
Zm00001eb397180,L-ascorbate peroxidase,"L-ASCORBATE PEROXIDASE 1, CYTOSOLIC (PTHR31356:SF57)",,,,
Zm00001eb258970,Tumor-related protein,S-ADENOSYL-L-METHIONINE-DEPENDENT METHYLTRANSFERASES SUPERFAMILY PROTEIN (PTHR14614:SF98),protein modifying enzyme(PC00260),protein methyltransferase activity(GO:0008276),,
Zm00001eb291660,Mediator of RNA polymerase II transcription subunit 23,OS05G0496000 PROTEIN (PTHR37250:SF1),,,,
Zm00001eb366140,Putative receptor-like protein kinase,OS01G0883000 PROTEIN (PTHR47989:SF63),,nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);ATP binding(GO:0005524);kinase activity(GO:0016301);transferase activity(GO:0016740),,membrane(GO:0016020)
Zm00001eb371980,G2-like1,TRANSCRIPTION FACTOR GLK1-RELATED (PTHR31312:SF3),,transcription cis-regulatory region binding(GO:0000976);DNA binding(GO:0003677);DNA-binding transcription factor activity(GO:0003700),positive regulation of DNA-templated transcription(GO:0045893),nucleus(GO:0005634)
Zm00001eb330550,Peroxidase,PEROXIDASE 2 (PTHR31388:SF13),peroxidase(PC00180),peroxidase activity(GO:0004601);oxidoreductase activity(GO:0016491);heme binding(GO:0020037);metal ion binding(GO:0046872);lactoperoxidase activity(GO:0140825),response to oxidative stress(GO:0006979);hydrogen peroxide catabolic process(GO:0042744);cellular oxidant detoxification(GO:0098869),extracellular region(GO:0005576);plant-type cell wall(GO:0009505)
Zm00001eb159730,Putative aldo-keto reductase 4,ALDO-KETO REDUCTASE 4-RELATED (PTHR43625:SF95),reductase(PC00198),alcohol dehydrogenase (NADP+) activity(GO:0008106);oxidoreductase activity(GO:0016491),,cytoplasm(GO:0005737)
Zm00001eb059220,Erythronate-4-phosphate dehydrogenase family protein,ERYTHRONATE-4-PHOSPHATE DEHYDROGENASE FAMILY PROTEIN (PTHR42938:SF11),dehydrogenase(PC00092),,,
Zm00001eb386570,C2 and GRAM domain-containing protein,C2 AND GRAM DOMAIN-CONTAINING PROTEIN (PTHR46296:SF1),,,pollen maturation(GO:0010152),membrane(GO:0016020)
Zm00001eb317830,Pollen Ole e 1 allergen and extensin family protein,POLLEN OLE E 1 ALLERGEN AND EXTENSIN FAMILY PROTEIN (PTHR46995:SF6),,,,
Zm00001eb272020,LAZ1-8,PROTEIN LAZ1 (PTHR23423:SF77),transporter(PC00227),transmembrane transporter activity(GO:0022857),transmembrane transport(GO:0055085);vesicle-mediated transport to the plasma membrane(GO:0098876);negative regulation of brassinosteroid mediated signaling pathway(GO:1900458),membrane(GO:0016020)
Zm00001eb397360,UDP-glucuronate decarboxylase,UDP-GLUCURONATE DECARBOXYLASE (PTHR43078:SF51),decarboxylase(PC00089),lyase activity(GO:0016829);carboxy-lyase activity(GO:0016831);UDP-glucuronate decarboxylase activity(GO:0048040);NAD+ binding(GO:0070403),UDP-D-xylose biosynthetic process(GO:0033320);D-xylose metabolic process(GO:0042732),cytoplasm(GO:0005737);Golgi cisterna membrane(GO:0032580)
Zm00001eb117350,E3 ubiquitin-protein ligase RHF2A,E3 UBIQUITIN-PROTEIN LIGASE RHF2A (PTHR22763:SF185),ubiquitin-protein ligase(PC00234),zinc ion binding(GO:0008270);transferase activity(GO:0016740);metal ion binding(GO:0046872);ubiquitin protein ligase activity(GO:0061630),proteasome-mediated ubiquitin-dependent protein catabolic process(GO:0043161),endomembrane system(GO:0012505)
Zm00001eb239550,Auxin-responsive protein,AUXIN-RESPONSIVE PROTEIN IAA7 (PTHR31734:SF266),,,regulation of DNA-templated transcription(GO:0006355);response to auxin(GO:0009733);auxin-activated signaling pathway(GO:0009734),nucleus(GO:0005634)
Zm00001eb165630,Glycosyltransferase,GLYCOSYLTRANSFERASE (PTHR48047:SF58),glycosyltransferase(PC00111),UDP-glycosyltransferase activity(GO:0008194);transferase activity(GO:0016740);glycosyltransferase activity(GO:0016757);UDP-glucosyltransferase activity(GO:0035251),,
Zm00001eb304610,Metal transporter Nramp5,METAL TRANSPORTER NRAMP5 (PTHR11706:SF77),secondary carrier transporter(PC00258),manganese ion transmembrane transporter activity(GO:0005384);metal ion transmembrane transporter activity(GO:0046873),monoatomic ion transport(GO:0006811);manganese ion transport(GO:0006828);intracellular iron ion homeostasis(GO:0006879);metal ion transport(GO:0030001);intracellular manganese ion homeostasis(GO:0030026);iron ion transmembrane transport(GO:0034755);manganese ion transmembrane transport(GO:0071421),plasma membrane(GO:0005886);membrane(GO:0016020)
Zm00001eb018090,protein-serine_threonine phosphatase,PROTEIN PHOSPHATASE 2C 32 (PTHR13832:SF688),protein phosphatase(PC00195),phosphoprotein phosphatase activity(GO:0004721);protein serine/threonine phosphatase activity(GO:0004722);hydrolase activity(GO:0016787),signal transduction(GO:0007165),
Zm00001eb007020,Carboxypeptidase,CARBOXYPEPTIDASE (PTHR11802:SF83),serine protease(PC00203),carboxypeptidase activity(GO:0004180);serine-type carboxypeptidase activity(GO:0004185);peptidase activity(GO:0008233);hydrolase activity(GO:0016787),proteolysis(GO:0006508),extracellular region(GO:0005576)
Zm00001eb260460,Core-2_I-branching beta-16-N-acetylglucosaminyltransferase family protein,OS08G0110400 PROTEIN (PTHR31042:SF3),transferase(PC00220),transferase activity(GO:0016740);glycosyltransferase activity(GO:0016757),,membrane(GO:0016020)
Zm00001eb214920,ATP binding protein,PROTEIN KINASE DOMAIN-CONTAINING PROTEIN-RELATED (PTHR47634:SF9),,nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);ATP binding(GO:0005524);kinase activity(GO:0016301);transferase activity(GO:0016740),spliceosomal complex assembly(GO:0000245);regulation of mRNA processing(GO:0050684),
Zm00001eb289430,Uncharacterized protein,ATAXIN-2 C-TERMINAL DOMAIN-CONTAINING PROTEIN (PTHR33356:SF12),,,,
Zm00001eb178370,Thioredoxin domain-containing protein 9-like protein,THIOREDOXIN DOMAIN-CONTAINING PROTEIN 9 (PTHR21148:SF11),protein-binding activity modulator(PC00095),,microtubule cytoskeleton organization(GO:0000226),cytoplasm(GO:0005737)
Zm00001eb010950,Ubiquitin-fold modifier-conjugating enzyme 1,UBIQUITIN-FOLD MODIFIER-CONJUGATING ENZYME 1 (PTHR12921:SF0),,UFM1 conjugating enzyme activity(GO:0061657);UFM1 transferase activity(GO:0071568),response to endoplasmic reticulum stress(GO:0034976);reticulophagy(GO:0061709);protein ufmylation(GO:0071569),cytoplasm(GO:0005737)
Zm00001eb401380,Legumin-like protein,OS05G0116000 PROTEIN (PTHR31189:SF78),,nutrient reservoir activity(GO:0045735),,
Zm00001eb433490,Homeodomain-like transcription factor superfamily protein,OS04G0673000 PROTEIN (PTHR14000:SF9),,,,
Zm00001eb433650,dolichyl-diphosphooligosaccharide--protein glycotransferase,DOLICHYL-DIPHOSPHOOLIGOSACCHARIDE--PROTEIN GLYCOSYLTRANSFERASE SUBUNIT STT3B (PTHR13872:SF1),glycosyltransferase(PC00111),oligosaccharyl transferase activity(GO:0004576);dolichyl-diphosphooligosaccharide-protein glycotransferase activity(GO:0004579);transferase activity(GO:0016740);glycosyltransferase activity(GO:0016757);metal ion binding(GO:0046872),,endoplasmic reticulum membrane(GO:0005789);membrane(GO:0016020)
Zm00001eb149270,Protein RETICULATA-RELATED 6 chloroplastic,"PROTEIN RETICULATA-RELATED 5, CHLOROPLASTIC (PTHR31620:SF2)",,,,chloroplast membrane(GO:0031969)
Zm00001eb218130,Pre-rRNA-processing protein TSR2,PRE-RRNA-PROCESSING PROTEIN TSR2 HOMOLOG (PTHR21250:SF0),,,"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)(GO:0000462);rRNA processing(GO:0006364)",nucleus(GO:0005634)
Zm00001eb231820,Cleavage and polyadenylation specificity factor (CPSF) A subunit protein,SPLICING FACTOR 3B SUBUNIT 3 (PTHR10644:SF1),RNA processing factor(PC00147),nucleic acid binding(GO:0003676);U2 snRNA binding(GO:0030620),"mRNA splicing, via spliceosome(GO:0000398);mRNA processing(GO:0006397);RNA splicing(GO:0008380)",nucleus(GO:0005634);spliceosomal complex(GO:0005681);U2 snRNP(GO:0005686)
Zm00001eb237920,BACK domain-containing protein,OS02G0260700 PROTEIN (PTHR46336:SF21),,,response to red light(GO:0010114),nucleus(GO:0005634)
Zm00001eb405630,Zinc finger CCCH domain-containing protein 46,ZINC FINGER CCCH DOMAIN-CONTAINING PROTEIN 46 (PTHR24009:SF45),RNA metabolism protein(PC00031),,,
Zm00001eb403460,DNA_RNA-binding protein Alba-like domain-containing protein,ALBA DNA_RNA-BINDING PROTEIN (PTHR13516:SF3),endoribonuclease(PC00094),nucleic acid binding(GO:0003676);RNA binding(GO:0003723),,nucleus(GO:0005634)
Zm00001eb244170,glutathione transferase,GLUTATHIONE TRANSFERASE (PTHR42673:SF13),isomerase(PC00135),catalytic activity(GO:0003824);glutathione transferase activity(GO:0004364);maleylacetoacetate isomerase activity(GO:0016034);transferase activity(GO:0016740),L-phenylalanine catabolic process(GO:0006559);glutathione metabolic process(GO:0006749);aromatic amino acid metabolic process(GO:0009072);toxin catabolic process(GO:0009407),cytoplasm(GO:0005737)
Zm00001eb326930,Protein LONGIFOLIA 2,OS07G0603300 PROTEIN (PTHR31680:SF7),,,regulation of monopolar cell growth(GO:0051513),
Zm00001eb426230,GDSL esterase_lipase LTL1,OS04G0507700 PROTEIN (PTHR45648:SF21),lipase(PC00143),"hydrolase activity(GO:0016787);hydrolase activity, acting on ester bonds(GO:0016788)",lipid catabolic process(GO:0016042),
Zm00001eb426750,Senescence regulator,EMB|CAB72159.1 (PTHR46525:SF2),,,leaf senescence(GO:0010150),
Zm00001eb367680,Uncharacterized protein,TIP41-LIKE PROTEIN (PTHR33356:SF5),,,,
Zm00001eb123930,DUF674 family protein,DUF674 FAMILY PROTEIN (PTHR33103:SF53),,,,
Zm00001eb291890,Glycosyltransferase,GLYCOSYLTRANSFERASE (PTHR48049:SF44),glycosyltransferase(PC00111),UDP-glycosyltransferase activity(GO:0008194);transferase activity(GO:0016740);glycosyltransferase activity(GO:0016757);UDP-glucosyltransferase activity(GO:0035251),,
Zm00001eb244060,AP2_ERF domain-containing protein,OS02G0558700 PROTEIN (PTHR31985:SF20),DNA-binding transcription factor(PC00218),DNA binding(GO:0003677);DNA-binding transcription factor activity(GO:0003700),regulation of DNA-templated transcription(GO:0006355),nucleus(GO:0005634)
Zm00001eb032750,Ubiquitin-protein ligase_ zinc ion binding protein,E3 UBIQUITIN-PROTEIN LIGASE RNF217 (PTHR11685:SF225),ubiquitin-protein ligase(PC00234),nucleic acid binding(GO:0003676);catalytic activity(GO:0003824);RNA-DNA hybrid ribonuclease activity(GO:0004523);ubiquitin-protein transferase activity(GO:0004842);zinc ion binding(GO:0008270);transferase activity(GO:0016740);ligase activity(GO:0016874);ubiquitin conjugating enzyme binding(GO:0031624);metal ion binding(GO:0046872);ubiquitin protein ligase activity(GO:0061630),ubiquitin-dependent protein catabolic process(GO:0006511);protein ubiquitination(GO:0016567),ubiquitin ligase complex(GO:0000151);cytoplasm(GO:0005737)
